TIMESTAMP, LEFT SETPOINT, RIGHT SETPOINT, LEFT VEL, RIGHT VEL, LEFT RAW VEL, RIGHT RAW VEL, LEFT CURR, LEFT RAW CURR, RIGHT CURR, RIGHT RAW CURR, VOLT, TEMP
2019-03-02 19:13:20.507,50,50,4.095,4.095,56,56,2.00391006842619,525,1.56402737047898,519,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.577,50,50,4.168125,3.94875,57,54,1.56402737047898,519,1.27077223851417,515,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.685,50,50,4.314375,3.875625,59,53,0.928641251221892,511,2.78592375366568,535,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.757,50,50,4.3875,3.875625,60,53,2.00391006842619,525,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.823,50,50,4.314375,3.875625,59,53,0.195503421309867,501,2.44379276637341,531,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.893,50,50,4.314375,3.94875,59,54,1.85728250244379,523,1.56402737047898,519,25.3456221198157,25.6995329638364
2019-03-02 19:13:20.958,50,50,4.095,4.095,56,56,0.928641251221892,511,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.027,50,50,4.095,4.095,56,56,0.342130987292276,503,1.41739980449658,517,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.125,50,50,4.021875,4.021875,55,55,2.00391006842619,525,0.78201368523949,509,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.194,50,50,4.021875,4.021875,55,55,1.56402737047898,519,0.928641251221892,511,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.263,0,0,4.021875,4.021875,55,55,0.195503421309867,501,0.78201368523949,509,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.330,0,0,4.24125,4.021875,58,55,-24.8778103616813,171,-14.5650048875855,307,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.435,0,0,3.51,2.998125,48,41,-8.45552297165201,387,-8.16226783968719,391,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.510,0,0,0.8775,0.43875,12,6,-3.32355816226784,455,-1.80840664711633,475,25.3456221198157,25.6995329638364
2019-03-02 19:13:21.575,0,0,0.2925,0.2925,4,4,-0.439882697947214,493,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:21.644,0,0,0.073125,0,1,0,0.342130987292276,503,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:21.712,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:21.780,0,0,-0.073125,0,-1,0,0.195503421309867,501,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:21.880,0,0,-0.073125,0,-1,0,0.0488758553274651,499,0.635386119257088,507,25.6292095001772,25.6995329638364
2019-03-02 19:13:21.948,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.017,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.088,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.153,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.265,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.331,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.395,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.464,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.533,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.604,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.706,0,0,0,0,0,0,0.0488758553274651,499,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.774,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.839,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.908,0,0,0,0,0,0,0.0488758553274651,499,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:22.977,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.6292095001772,25.6995329638364
2019-03-02 19:13:23.083,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:23.149,-50,-50,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:23.223,-50,-50,0,0,0,0,-28.6901270772238,121,-23.3626588465298,191,25.6292095001772,25.6995329638364
2019-03-02 19:13:23.298,-50,-50,-1.17,-0.804375,-16,-11,-10.3128054740958,363,-10.4594330400782,361,25.6292095001772,25.6995329638364
2019-03-02 19:13:23.357,-50,-50,-3.144375,-3.144375,-43,-43,-3.76344086021506,449,-4.98533724340176,433,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.426,-50,-50,-3.65625,-3.36375,-50,-46,-2.39491691104594,467,-1.31964809384165,481,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.525,-50,-50,-3.94875,-3.875625,-54,-53,-1.17302052785924,483,-2.98142717497557,459,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.593,-50,-50,-4.021875,-4.021875,-55,-55,-0.879765395894427,487,-1.17302052785924,483,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.662,-50,-50,-4.095,-3.8025,-56,-52,-0.586510263929623,491,-0.439882697947214,493,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.731,-50,-50,-4.021875,-3.94875,-55,-54,-0.293255131964811,495,-0.879765395894427,487,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.804,-50,-50,-3.94875,-3.94875,-54,-54,-1.61290322580645,477,-1.80840664711633,475,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.910,-50,-50,-4.021875,-3.94875,-55,-54,-0.439882697947214,493,-1.46627565982405,479,24.0694789081886,25.6995329638364
2019-03-02 19:13:23.972,-50,-50,-4.168125,-4.021875,-57,-55,-0.439882697947214,493,-1.61290322580645,477,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.047,-50,-50,-4.314375,-4.021875,-59,-55,-0.293255131964811,495,-1.02639296187684,485,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.112,-50,-50,-4.24125,-4.021875,-58,-55,-1.31964809384165,481,-0.293255131964811,495,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.180,-50,-50,-4.24125,-4.095,-58,-56,-0.293255131964811,495,-1.80840664711633,475,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.251,-50,-50,-4.095,-4.095,-56,-56,-0.733137829912025,489,-1.95503421309873,473,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.348,-50,-50,-4.095,-4.095,-56,-56,-1.17302052785924,483,-1.46627565982405,479,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.417,-50,-50,-4.095,-4.021875,-56,-55,0.0488758553274651,499,-0.439882697947214,493,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.488,-50,-50,-4.021875,-4.095,-55,-56,-1.31964809384165,481,-1.02639296187684,485,25.2038284296349,25.6995329638364
2019-03-02 19:13:24.553,-50,-50,-4.021875,-4.021875,-55,-55,-0.439882697947214,493,-1.80840664711633,475,25.3456221198157,25.6995329638364
2019-03-02 19:13:24.657,-50,-50,-4.095,-3.94875,-56,-54,-1.17302052785924,483,-1.80840664711633,475,25.3456221198157,25.6995329638364
2019-03-02 19:13:24.726,-50,-50,-4.021875,-3.94875,-55,-54,-1.17302052785924,483,-0.439882697947214,493,25.3456221198157,25.6995329638364
2019-03-02 19:13:24.800,-50,-50,-4.168125,-3.94875,-57,-54,-0.879765395894427,487,-1.31964809384165,481,25.3456221198157,25.6995329638364
2019-03-02 19:13:24.867,-50,-50,-4.24125,-4.021875,-58,-55,-0.0977517106549371,497,-2.10166177908114,471,25.3456221198157,25.6995329638364
2019-03-02 19:13:24.934,-50,-50,-4.3875,-4.095,-60,-56,-1.31964809384165,481,-1.46627565982405,479,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.003,-50,-50,-4.24125,-4.168125,-58,-57,0.195503421309867,501,-1.02639296187684,485,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.105,-50,-50,-4.021875,-4.168125,-55,-57,0.0488758553274651,499,-0.439882697947214,493,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.170,-50,-50,-4.021875,-4.095,-55,-56,-0.879765395894427,487,-1.31964809384165,481,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.239,-50,-50,-3.94875,-4.021875,-54,-55,-0.586510263929623,491,-1.46627565982405,479,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.310,-50,-50,-3.94875,-4.095,-54,-56,-1.61290322580645,477,-1.17302052785924,483,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.376,-50,-50,-4.095,-4.021875,-56,-55,-0.586510263929623,491,-0.586510263929623,491,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.480,-50,-50,-4.168125,-3.94875,-57,-54,-0.0977517106549371,497,-1.31964809384165,481,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.549,-50,-50,-4.314375,-3.94875,-59,-54,-0.586510263929623,491,-1.80840664711633,475,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.618,-50,-50,-4.314375,-3.94875,-59,-54,-1.17302052785924,483,-1.61290322580645,477,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.693,-50,-50,-4.24125,-4.24125,-58,-58,0.0488758553274651,499,-1.61290322580645,477,25.3456221198157,25.6995329638364
2019-03-02 19:13:25.759,-50,-50,-4.168125,-4.095,-57,-56,0.928641251221892,511,-1.31964809384165,481,25.2038284296349,25.6995329638364
2019-03-02 19:13:25.826,0,0,-4.095,-4.168125,-56,-57,-0.879765395894427,487,-0.879765395894427,487,25.2038284296349,25.6995329638364
2019-03-02 19:13:25.925,0,0,-4.021875,-3.875625,-55,-53,15.8357771260997,707,15.6891495601173,705,25.2038284296349,25.6995329638364
2019-03-02 19:13:25.992,0,0,-2.19375,-1.90125,-30,-26,5.18084066471163,567,5.96285434995112,577,25.2038284296349,25.6995329638364
2019-03-02 19:13:26.061,0,0,-0.585,-0.511875,-8,-7,1.56402737047898,519,1.56402737047898,519,25.2038284296349,25.6995329638364
2019-03-02 19:13:26.130,0,0,-0.14625,0,-2,0,0.195503421309867,501,0.0488758553274651,499,25.2038284296349,25.6995329638364
2019-03-02 19:13:26.235,0,0,0,0,0,0,0.0488758553274651,499,0.195503421309867,501,25.2038284296349,25.6995329638364
2019-03-02 19:13:26.309,0,0,0,0,0,0,0.195503421309867,501,0.342130987292276,503,25.2038284296349,25.6995329638364
2019-03-02 19:13:26.376,0,0,0,0,0,0,0.195503421309867,501,0.0488758553274651,499,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.443,0,0,0,0,0,0,0.0488758553274651,499,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.512,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.577,0,0,0,0,0,0,0.342130987292276,503,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.678,0,0,0,0,0,0,0.195503421309867,501,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.750,0,0,0,0,0,0,0.635386119257088,507,0.195503421309867,501,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.816,0,0,0,0,0,0,0.0488758553274651,499,0.78201368523949,509,25.6292095001772,25.6995329638364
2019-03-02 19:13:26.888,0,0,0,0,0,0,0.342130987292276,503,0.0488758553274651,499,25.6292095001772,25.6995329638364
